p_bar, v_init, Result
0.0, 0, 4.536689858474897
0.0, 1, 4.669735270428552
0.0, 2, 4.911276640159206
0.0, 3, 5.2214684323209895
0.0, 4, 5.526371571873041
0.0, 5, 5.797873296301095
0.0, 6, 6.221052626807883
0.0, 7, 7.0176269440619015
0.0, 8, 7.999999999999999
0.0, 9, 9.0
0.0, 10, 9.5
0.1, 0, 4.501487950215352
0.1, 1, 4.634565194829985
0.1, 2, 4.876899497659859
0.1, 3, 5.187474100914477
0.1, 4, 5.493941651135556
0.1, 5, 5.770916914820714
0.1, 6, 6.190590776672118
0.1, 7, 7.0
0.1, 8, 7.999999999999999
0.1, 9, 9.0
0.1, 10, 9.5
0.2, 0, 4.472032772408011
0.2, 1, 4.60541521305261
0.2, 2, 4.848421160729413
0.2, 3, 5.159778619177621
0.2, 4, 5.468479553201131
0.2, 5, 5.748505777208519
0.2, 6, 6.1673083476073645
0.2, 7, 7.0
0.2, 8, 7.999999999999999
0.2, 9, 9.0
0.2, 10, 9.5
0.30000000000000004, 0, 4.446845733108402
0.30000000000000004, 1, 4.580611240973706
0.30000000000000004, 2, 4.824067204586147
0.30000000000000004, 3, 5.136712130293219
0.30000000000000004, 4, 5.446808305235501
0.30000000000000004, 5, 5.729317948892292
0.30000000000000004, 6, 6.146095390035161
0.30000000000000004, 7, 7.0
0.30000000000000004, 8, 7.999999999999999
0.30000000000000004, 9, 9.0
0.30000000000000004, 10, 9.5
0.4, 0, 4.425019890356886
0.4, 1, 4.5592214278411785
0.4, 2, 4.802986216692044
0.4, 3, 5.117322638377679
0.4, 4, 5.428734965647633
0.4, 5, 5.712817681948024
0.4, 6, 6.127314151019505
0.4, 7, 7.0
0.4, 8, 7.999999999999999
0.4, 9, 9.0
0.4, 10, 9.5
0.5, 0, 4.405958014465601
0.5, 1, 4.540508986710832
0.5, 2, 4.784626937812997
0.5, 3, 5.100244520668916
0.5, 4, 5.41368136503045
0.5, 5, 5.6977719076988675
0.5, 6, 6.110838018508817
0.5, 7, 7.0
0.5, 8, 7.999999999999999
0.5, 9, 9.0
0.5, 10, 9.5
0.6000000000000001, 0, 4.389269815936347
0.6000000000000001, 1, 4.523910802066206
0.6000000000000001, 2, 4.768786104631596
0.6000000000000001, 3, 5.084924818088451
0.6000000000000001, 4, 5.400845845628023
0.6000000000000001, 5, 5.683847261153958
0.6000000000000001, 6, 6.0958436678342895
0.6000000000000001, 7, 7.0
0.6000000000000001, 8, 7.999999999999999
0.6000000000000001, 9, 9.0
0.6000000000000001, 10, 9.5
0.7000000000000001, 0, 4.374397777034896
0.7000000000000001, 1, 4.509074488864179
0.7000000000000001, 2, 4.754797653456184
0.7000000000000001, 3, 5.071346344422902
0.7000000000000001, 4, 5.389714459503777
0.7000000000000001, 5, 5.6717546914184975
0.7000000000000001, 6, 6.082173037922948
0.7000000000000001, 7, 7.0
0.7000000000000001, 8, 7.999999999999999
0.7000000000000001, 9, 9.0
0.7000000000000001, 10, 9.5
0.8, 0, 4.361380766356824
0.8, 1, 4.495776856064179
0.8, 2, 4.743443962668958
0.8, 3, 5.058990294558418
0.8, 4, 5.382129433162412
0.8, 5, 5.660532105308616
0.8, 6, 6.070898918064394
0.8, 7, 7.0
0.8, 8, 7.999999999999999
0.8, 9, 9.0
0.8, 10, 9.5
0.9, 0, 4.350235869539187
0.9, 1, 4.484183833241367
0.9, 2, 4.734160037751161
0.9, 3, 5.047931516193024
0.9, 4, 5.376628277307292
0.9, 5, 5.650092159661331
0.9, 6, 6.060912716109167
0.9, 7, 7.0
0.9, 8, 7.999999999999999
0.9, 9, 9.0
0.9, 10, 9.5
1.0, 0, 4.341768097812774
1.0, 1, 4.474912866485086
1.0, 2, 4.72717061550867
1.0, 3, 5.038197734623445
1.0, 4, 5.372619856429695
1.0, 5, 5.640378171841451
1.0, 6, 6.051519050745872
1.0, 7, 7.0
1.0, 8, 7.999999999999999
1.0, 9, 9.0
1.0, 10, 9.5
